filename,latitude,longitude,height,roll,pitch,heading,date,time,unix_time_sec,distancetoprevious
003491-20211011-130642-000000084,2.415784,102.737144,28.2356987,0,0,155.5848244622,2021-10-11,13:07:45,1633928865,3.412
003491-20211011-130642-000000085,2.415756,102.737157,28.4194583893,0,0,155.6288245408,2021-10-11,13:07:46,1633928866,3.416
003491-20211011-130642-000000086,2.415728,102.737169,28.596364975,0,0,155.6997492252,2021-10-11,13:07:46,1633928866,3.398
003491-20211011-130642-000000087,2.415700,102.737182,28.7825870514,0,0,155.7664528526,2021-10-11,13:07:47,1633928867,3.373
003491-20211011-130642-000000088,2.415673,102.737194,28.9724349976,0,0,155.8428416883,2021-10-11,13:07:47,1633928867,3.36
003491-20211011-130642-000000089,2.415646,102.737206,29.1944141388,0,0,155.905187655,2021-10-11,13:07:47,1633928867,3.333
003491-20211011-130642-000000090,2.415619,102.737219,29.4400997162,0,0,155.9667686406,2021-10-11,13:07:48,1633928868,3.295
003491-20211011-130642-000000091,2.415592,102.737230,29.6925163269,0,0,155.998665624,2021-10-11,13:07:48,1633928868,3.264
003491-20211011-130642-000000092,2.415565,102.737242,29.9362220764,0,0,156.0743577804,2021-10-11,13:07:49,1633928869,3.254
003491-20211011-130642-000000093,2.415538,102.737254,30.1534347534,0,0,156.1808131088,2021-10-11,13:07:49,1633928869,3.232
003491-20211011-130642-000000094,2.415512,102.737265,30.3668289185,0,0,156.3391778749,2021-10-11,13:07:49,1633928869,3.187
003491-20211011-130642-000000095,2.415485,102.737276,30.6123008728,0,0,156.4748800733,2021-10-11,13:07:50,1633928870,3.197
003491-20211011-130642-000000096,2.415459,102.737288,30.829864502,0,0,156.5824692131,2021-10-11,13:07:50,1633928870,3.224
003491-20211011-130642-000000097,2.415432,102.737300,31.0209789276,0,0,156.7050574484,2021-10-11,13:07:51,1633928871,3.228
003491-20211011-130642-000000098,2.415405,102.737311,31.1451225281,0,0,156.8064174556,2021-10-11,13:07:51,1633928871,3.238
003491-20211011-130642-000000099,2.415379,102.737322,31.5290489197,0,0,157.0726309087,2021-10-11,13:07:51,1633928871,3.18
003491-20211011-130642-000000100,2.415352,102.737333,31.7719173431,0,0,157.221324127,2021-10-11,13:07:52,1633928872,3.192
003491-20211011-130642-000000101,2.415326,102.737344,31.9755935669,0,0,157.2632888092,2021-10-11,13:07:52,1633928872,3.175
003491-20211011-130642-000000102,2.415300,102.737355,32.1797065735,0,0,157.4032530457,2021-10-11,13:07:53,1633928873,3.127
003491-20211011-130642-000000103,2.415274,102.737366,32.2631988525,0,0,157.408211763,2021-10-11,13:07:53,1633928873,3.185
003491-20211011-130642-000000104,2.415248,102.737377,32.4165916443,0,0,156.9811200342,2021-10-11,13:07:53,1633928873,3.116
003491-20211011-130642-000000105,2.415223,102.737389,32.5158004761,0,0,156.3513082909,2021-10-11,13:07:54,1633928874,3.141
003491-20211011-130642-000000106,2.415196,102.737401,32.6469078064,0,0,156.1532737861,2021-10-11,13:07:54,1633928874,3.201
003491-20211011-130642-000000107,2.415170,102.737412,32.8155403137,0,0,156.3418416487,2021-10-11,13:07:55,1633928875,3.148
003491-20211011-130642-000000108,2.415144,102.737424,32.8483734131,0,0,156.1654315228,2021-10-11,13:07:55,1633928875,3.194
003491-20211011-130642-000000109,2.415117,102.737436,32.8663978577,0,0,155.9399396575,2021-10-11,13:07:55,1633928875,3.24
003491-20211011-130642-000000110,2.415091,102.737448,32.7141952515,0,0,155.943819205,2021-10-11,13:07:56,1633928876,3.23
003491-20211011-130642-000000111,2.415064,102.737461,32.6042900085,0,0,155.9688450181,2021-10-11,13:07:56,1633928876,3.286
003491-20211011-130642-000000112,2.415037,102.737473,32.7318725586,0,0,156.1114866887,2021-10-11,13:07:57,1633928877,3.348
003491-20211011-130642-000000113,2.415009,102.737485,32.6923675537,0,0,156.4794699605,2021-10-11,13:07:57,1633928877,3.42
003491-20211011-130642-000000114,2.414983,102.737497,32.8081207275,0,0,156.6076043093,2021-10-11,13:07:57,1633928877,3.093
003491-20211011-130642-000000115,2.414955,102.737509,32.6307945251,0,0,156.8520977608,2021-10-11,13:07:58,1633928878,3.429
003491-20211011-130642-000000116,2.414930,102.737520,32.612361908,0,0,156.6240104237,2021-10-11,13:07:58,1633928878,3.087
003491-20211011-130642-000000117,2.414904,102.737531,32.6088027954,0,0,156.1820015617,2021-10-11,13:07:58,1633928878,3.113
003491-20211011-130642-000000118,2.414878,102.737542,32.5541305542,0,0,155.8180344412,2021-10-11,13:07:59,1633928879,3.163
003491-20211011-130642-000000119,2.414852,102.737554,32.6238594055,0,0,155.4567447549,2021-10-11,13:07:59,1633928879,3.144
003491-20211011-130642-000000120,2.414826,102.737566,32.5530471802,0,0,155.1477196761,2021-10-11,13:08:00,1633928880,3.16
003491-20211011-130642-000000121,2.414800,102.737578,32.4831390381,0,0,155.0732159726,2021-10-11,13:08:00,1633928880,3.199
003491-20211011-130642-000000122,2.414773,102.737590,32.4498825073,0,0,154.7800642534,2021-10-11,13:08:00,1633928880,3.265
003491-20211011-130642-000000123,2.414746,102.737603,32.2930221558,0,0,154.6182707324,2021-10-11,13:08:01,1633928881,3.294
003491-20211011-130642-000000124,2.414719,102.737615,32.1927909851,0,0,154.4962972142,2021-10-11,13:08:01,1633928881,3.311
003491-20211011-130642-000000125,2.414694,102.737627,32.2428436279,0,0,154.3450085241,2021-10-11,13:08:01,1633928881,3.15
003491-20211011-130642-000000126,2.414668,102.737639,32.2175559998,0,0,154.1398433018,2021-10-11,13:08:02,1633928882,3.136
003491-20211011-130642-000000127,2.414643,102.737651,32.1248283386,0,0,154.0071737073,2021-10-11,13:08:02,1633928882,3.13
003491-20211011-130642-000000128,2.414618,102.737663,32.0440368652,0,0,154.0259567276,2021-10-11,13:08:02,1633928882,3.091
003491-20211011-130642-000000129,2.414590,102.737677,32.0650253296,0,0,153.9562478169,2021-10-11,13:08:03,1633928883,3.428
003491-20211011-130642-000000130,2.414566,102.737689,32.0015945435,0,0,154.0055617827,2021-10-11,13:08:03,1633928883,3.029
003491-20211011-130642-000000131,2.414538,102.737702,31.8667354584,0,0,153.9543900054,2021-10-11,13:08:03,1633928883,3.416
003491-20211011-130642-000000132,2.414512,102.737716,31.8069076538,0,0,153.7960662205,2021-10-11,13:08:04,1633928884,3.309
003491-20211011-130642-000000133,2.414486,102.737729,31.5938796997,0,0,153.4006392487,2021-10-11,13:08:04,1633928884,3.226
003491-20211011-130642-000000134,2.414460,102.737742,31.3243560791,0,0,152.8714635125,2021-10-11,13:08:05,1633928885,3.191
